number,issue_rel,rel_time,rel_author,rel_comment,type
7157,astropy/astropy#7153,2018-02-03 12:52:56,astrofrog,0,within
7157,astropy/astropy#7145,2018-02-03 12:52:56,astrofrog,0,within
7157,astropy/astropy#7157,2018-02-03 18:42:57,stscirij,4,within
7153,astropy/astropy#7145,2018-02-02 16:14:55,astrofrog,0,within
7153,astropy/astropy#7157,2018-02-03 12:56:26,astrofrog,13,within
7153,astropy/astropy#7157,2018-02-05 17:20:50,saimn,14,within
7148,astropy/astropy#7141,2018-02-01 23:19:12,mhvk,0,within
7147,astropy/astropy#6806,2018-02-01 23:10:06,taldcroft,0,within
7147,astropy/astropy#6912,2018-02-01 23:10:06,taldcroft,0,within
7145,astropy/astropy#6359,2018-02-01 21:37:34,stscirij,1,within
7145,astropy/astropy#6806,2018-02-01 21:50:25,stscirij,2,within
7145,astropy/astropy#6359,2018-02-02 13:10:57,saimn,7,within
7145,spacetelescope/PyFITS#82,2018-02-02 15:24:05,saimn,13,cross
7145,astropy/astropy#7013,2018-02-02 15:27:27,saimn,14,within
7145,astropy/astropy#7153,2018-02-02 16:15:47,astrofrog,17,within
7141,astropy/astropy#7148,2018-02-01 23:19:34,mhvk,3,within
7132,astropy/astropy#7130,2018-01-30 09:58:01,astrofrog,0,within
7132,astropy/astropy#6309,2018-01-30 09:58:01,astrofrog,0,within
7132,astropy/astropy#6309,2018-01-30 18:49:22,pllim,4,within
7131,astropy/astropy#7129,2018-01-29 19:58:50,pllim,0,within
7129,astropy/astropy#7126,2018-01-28 20:56:26,astrofrog,0,within
7129,astropy/astropy#7129,2018-01-29 19:49:18,pllim,6,within
7128,astropy/astropy#7126,2018-01-28 20:54:41,astrofrog,0,within
7128,astropy/astropy#7126,2018-01-30 09:29:02,astrofrog,1,within
7127,astropy/astropy#7126,2018-01-28 20:47:01,astrofrog,0,within
7127,astropy/astropy#7126,2018-01-30 09:18:34,astrofrog,2,within
7127,astropy/astropy#7126,2018-01-30 09:29:12,astrofrog,3,within
7107,astropy/astropy#7049,2018-01-21 18:42:50,taldcroft,0,within
7107,astropy/astropy#7105,2018-01-21 21:50:09,taldcroft,3,within
7091,astropy/astropy#7088,2018-01-18 14:50:48,drdavella,0,within
7069,astropy/astropy#6944,2018-01-11 16:31:01,pllim,3,within
7069,sunpy/sunpy#2390,2018-01-12 10:23:39,Cadair,5,cross
7051,numpy/numpy#10343,2018-01-08 22:14:27,mhvk,2,cross
7051,numpy/numpy#10369,2018-01-11 08:38:57,saimn,5,cross
7051,numpy/numpy#10369,2018-01-21 05:42:56,eteq,15,cross
7051,numpy/numpy#10371,2018-01-21 05:42:56,eteq,15,cross
7051,astropy/astropy#7051,2018-01-21 06:03:55,eteq,16,within
7051,astropy/astropy#7105,2018-01-21 06:03:55,eteq,16,within
7049,astropy/astropy#4068,2018-01-06 22:24:43,saimn,2,within
7049,astropy/astropy#4068,2018-01-08 12:34:10,vermashresth,3,within
7026,astropy/astropy#6988,2017-12-22 16:16:25,mhvk,0,within
7023,astropy/astropy#5131,2017-12-21 23:23:03,mhvk,0,within
6993,astropy/astropy#6760,2017-12-15 14:44:22,agowardhan,0,within
6993,astropy/astropy#6834,2017-12-15 14:44:22,agowardhan,0,within
6993,astropy/astropy#7085,2018-01-24 07:43:28,saimn,4,within
6987,astropy/astropy#6982,2017-12-14 19:44:02,pllim,0,within
6976,astropy/astropy#6937,2017-12-12 20:42:47,ricardogando,0,within
6969,matplotlib/matplotlib#7656,2017-12-11 20:24:57,larrybradley,0,cross
6969,astropy/astropy#6960,2017-12-11 20:24:57,larrybradley,0,within
6965,astropy/astropy#6967,2017-12-11 16:36:03,mhvk,2,within
6960,astropy/astropy#6959,2017-12-11 17:06:55,larrybradley,1,within
6960,astropy/astropy#6959,2017-12-11 17:37:34,mhvk,3,within
6960,astropy/astropy#6969,2017-12-12 15:31:19,larrybradley,6,within
6958,astropy/astropy#6675,2017-12-11 14:41:02,MSeifert04,2,within
6955,astropy/astropy#6966,2017-12-11 15:44:53,mhvk,9,within
6953,astropy/astropy#6918,2017-12-08 17:12:40,pllim,0,within
6936,astropy/astropy#6424,2017-12-06 20:06:57,drdavella,0,within
6936,astropy/astropy#6606,2017-12-06 20:06:57,drdavella,0,within
6934,astropy/astropy#6255,2017-12-06 15:27:49,bsipocz,3,within
6921,astropy/astropy#5362,2017-12-05 23:44:31,saimn,1,within
6921,astropy/astropy#5353,2017-12-05 23:44:31,saimn,1,within
6899,astropy/astropy#6839,2017-11-26 20:16:47,taldcroft,0,within
6899,astropy/astropy#6838,2017-11-26 20:16:47,taldcroft,0,within
6899,astropy/astropy#6839,2017-11-26 22:45:35,taldcroft,2,within
6899,astropy/astropy#6838,2017-11-27 15:43:59,mhvk,3,within
6899,astropy/astropy#6838,2017-11-27 19:47:52,taldcroft,4,within
6899,astropy/astropy#6838,2017-12-09 17:42:58,bsipocz,7,within
6899,astropy/astropy#6943,2017-12-09 19:34:19,bsipocz,8,within
6885,astropy/astropy#6884,2017-11-21 20:47:13,drdavella,0,within
6885,astropy/astropy#6883,2017-11-21 21:26:22,drdavella,2,within
6862,astropy/astropy#6785,2017-11-16 13:18:33,saimn,1,within
6862,astropy/astropy#6785,2017-11-16 13:29:55,saimn,2,within
6862,astropy/astropy#6923,2017-12-03 23:44:17,saimn,6,within
6851,astropy/astropy#6850,2017-11-14 18:59:15,pllim,0,within
6844,astropy/astropy#6841,2017-11-13 16:40:57,larrybradley,0,within
6844,astropy/astropy#6840,2017-11-13 17:48:04,larrybradley,3,within
6839,astropy/astropy#6838,2017-11-12 12:42:06,astrofrog,0,within
6838,numpy/numpy#8590,2017-11-27 15:42:35,mhvk,2,cross
6838,astropy/astropy#6899,2017-11-27 21:09:24,taldcroft,3,within
6838,numpy/numpy#10104,2017-11-27 22:24:20,mhvk,5,cross
6834,astropy/astropy#6760,2017-11-10 21:40:26,agowardhan,0,within
6834,astropy/astropy#6621,2017-11-13 16:17:35,pllim,4,within
6832,astropy/astropy#6821,2017-11-10 15:58:24,mhvk,0,within
6832,astropy/astropy#6823,2017-11-10 15:58:24,mhvk,0,within
6824,numpy/numpy#9332,2017-11-09 18:12:56,mhvk,0,cross
6823,astropy/astropy#6821,2017-11-09 17:29:12,mhvk,0,within
6823,astropy/astropy#6832,2017-11-10 15:58:59,mhvk,5,within
6823,astropy/astropy#6821,2017-11-27 14:20:38,taldcroft,20,within
6823,astropy/astropy#5700,2017-11-27 14:20:38,taldcroft,20,within
6823,astropy/astropy#6122,2017-11-27 14:20:38,taldcroft,20,within
6815,astropy/astropy#6791,2017-11-07 18:39:40,hrishikeshgoyal,0,within
6812,astropy/astropy#6385,2017-11-06 21:29:35,taldcroft,0,within
6812,astropy/astropy#6385,2017-11-27 16:00:02,bsipocz,3,within
6783,astropy/astropy#6590,2017-10-23 19:32:01,bmorris3,0,within
6783,astropy/astropy#6166,2017-10-23 21:47:37,bsipocz,5,within
6779,astropy/astropy#6502,2017-10-21 17:23:25,mhvk,0,within
